Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"NLP, Node.js, Figma, UI/UX","PyCharm, Postman, Azure Portal, GitLab",Web Development,Undergraduate,9,Backend Developer
"Deep Learning, Linux, Data Analysis, Power BI, AWS, Java","GitLab, GitHub, Docker, Postman",Cloud,Graduate,2,Cloud Engineer
"Machine Learning, Power BI, Figma, Kubernetes","PyCharm, GitLab",Data Science,Postgraduate,0,Data Analyst
"Power BI, Docker, Python, Tableau, Networking, Spark","Kubernetes, Jira, Azure Portal",Cloud,Undergraduate,8,Cloud Engineer
"Cybersecurity, C++, Data Analysis, Node.js","Kubernetes, AWS EC2, GitLab, GitHub",Cloud,Postgraduate,1,Cloud Engineer
"Node.js, Power BI, React, SQL","Figma, Postman",IoT,Postgraduate,0,Embedded Systems Engineer
"Docker, Machine Learning, AWS, Data Analysis","AWS EC2, Kubernetes, Docker, Postman",Design,Postgraduate,5,UI/UX Designer
"Tableau, Data Analysis, React, HTML","Azure Portal, Google Cloud",Data Science,Undergraduate,10,Data Analyst
"Python, Embedded Systems, Java, JavaScript","Jira, Kubernetes, Postman, GitHub",Web Development,Postgraduate,5,Backend Developer
"Azure, TensorFlow, Linux, Cybersecurity, SQL, Git","Kubernetes, Postman, Jupyter",Web Development,Undergraduate,8,Backend Developer
"Tableau, AWS, Embedded Systems, SQL, Figma, Azure","Figma, Jira",Cybersecurity,Postgraduate,6,Cybersecurity Analyst
"CSS, Spark, Embedded Systems, Hadoop, Java, Statistics","GitLab, Postman, Kubernetes",Design,Graduate,5,UI/UX Designer
"Spark, Hadoop, Git, Tableau, C++, Figma","Jupyter, Postman, Azure Portal, Docker",Web Development,Undergraduate,2,Backend Developer
"PyTorch, Git, AWS, Linux","GitHub, Jira",Cybersecurity,Graduate,2,Cybersecurity Analyst
"Git, Networking, C++, Docker","Google Cloud, Jira, Docker, GitLab",Cloud,Graduate,2,DevOps Engineer
"Hadoop, Azure, CSS, Deep Learning, Machine Learning, TensorFlow","PyCharm, VS Code, Figma, Kubernetes",Design,Graduate,0,UI/UX Designer
"Power BI, REST APIs, Java, Git, CSS","Azure Portal, VS Code, Docker, Kubernetes",AI/ML,Undergraduate,1,AI Engineer
"Java, Kubernetes, REST APIs, Linux, UI/UX, PyTorch, TensorFlow","Google Cloud, PyCharm, VS Code",Web Development,Undergraduate,0,Backend Developer
"Docker, Java, PyTorch, Azure, Hadoop","GitHub, Kubernetes, GitLab",Design,Graduate,1,UI/UX Designer
"Data Analysis, Statistics, SQL, PyTorch, C++, AWS","Azure Portal, Figma",IoT,Undergraduate,8,Embedded Systems Engineer
"Embedded Systems, Figma, REST APIs, HTML","Docker, Azure Portal",Design,Postgraduate,6,UI/UX Designer
"C++, Embedded Systems, CSS, Git, Cybersecurity","VS Code, Docker",Design,Postgraduate,7,UI/UX Designer
"React, Hadoop, Kubernetes, SQL","Google Cloud, AWS EC2, GitLab, Figma",IoT,Postgraduate,1,Embedded Systems Engineer
"Networking, JavaScript, Azure, Node.js, Docker, CSS","VS Code, PyCharm",AI/ML,Undergraduate,5,AI Engineer
"NLP, Machine Learning, TensorFlow, Hadoop, Node.js, JavaScript, Statistics","Google Cloud, Jupyter, Docker, Jira",IoT,Undergraduate,2,Embedded Systems Engineer
"Cybersecurity, Docker, React, Deep Learning, Git","Google Cloud, Kubernetes, Postman, GitHub",Cybersecurity,Postgraduate,9,Cybersecurity Analyst
"Networking, Statistics, UI/UX, Hadoop","Figma, Google Cloud, Jupyter",IoT,Graduate,10,Embedded Systems Engineer
"Java, C++, Node.js, AWS, REST APIs, Docker, Data Analysis","Docker, Jupyter, Postman",Data Science,Postgraduate,3,Data Analyst
"HTML, Node.js, Deep Learning, Docker","VS Code, PyCharm",Web Development,Postgraduate,2,Backend Developer
"Java, Azure, SQL, Embedded Systems, NLP, Networking","Figma, Kubernetes",Data Science,Postgraduate,2,Data Scientist
"C++, REST APIs, JavaScript, TensorFlow, Azure, Docker, Kubernetes","GitLab, Figma, Docker",AI/ML,Undergraduate,8,AI Engineer
"Deep Learning, HTML, NLP, CSS","Figma, Jupyter",Design,Graduate,4,UI/UX Designer
"Azure, JavaScript, Git, Tableau","Figma, Jira",Web Development,Graduate,8,Backend Developer
"TensorFlow, Networking, Machine Learning, Java, Python","AWS EC2, GitLab",Web Development,Graduate,1,Frontend Developer
"SQL, Hadoop, Node.js, Java, Cybersecurity, UI/UX, TensorFlow","PyCharm, Azure Portal, Google Cloud, Postman",Data Science,Graduate,8,Data Analyst
"CSS, Docker, TensorFlow, SQL, Kubernetes, Tableau, JavaScript","Google Cloud, AWS EC2, Figma",Data Science,Graduate,9,Data Scientist
"Tableau, SQL, NLP, Networking, Kubernetes, Azure, JavaScript","AWS EC2, Docker, Postman, GitLab",Design,Postgraduate,1,UI/UX Designer
"NLP, UI/UX, Azure, PyTorch, C++, Data Analysis, CSS","Google Cloud, GitLab",Design,Graduate,9,UI/UX Designer
"Machine Learning, Git, AWS, Hadoop, PyTorch","Postman, VS Code, Kubernetes, Azure Portal",AI/ML,Undergraduate,3,Machine Learning Engineer
"Deep Learning, Embedded Systems, Networking, Machine Learning, Linux","Google Cloud, AWS EC2, Kubernetes",IoT,Postgraduate,5,Embedded Systems Engineer
"Linux, Hadoop, Python, Kubernetes, Embedded Systems, Cybersecurity","Figma, GitHub, Docker",Web Development,Undergraduate,9,Backend Developer
"HTML, Kubernetes, Figma, REST APIs","PyCharm, GitHub",Data Science,Postgraduate,9,Data Scientist
"C++, CSS, Kubernetes, REST APIs, Embedded Systems, Figma","Postman, Figma, AWS EC2",Cloud,Undergraduate,3,Cloud Engineer
"JavaScript, Power BI, Machine Learning, Git, TensorFlow, Kubernetes","AWS EC2, Postman, Kubernetes",Cybersecurity,Postgraduate,3,Cybersecurity Analyst
"Tableau, Deep Learning, Networking, HTML, CSS, JavaScript, React","VS Code, Kubernetes, Jira",IoT,Undergraduate,10,Embedded Systems Engineer
"Cybersecurity, Figma, Azure, Statistics, HTML","GitLab, AWS EC2, GitHub, Figma",Cybersecurity,Undergraduate,6,Cybersecurity Analyst
"SQL, Hadoop, Spark, React","Jupyter, Jira",Web Development,Postgraduate,7,Backend Developer
"Embedded Systems, NLP, PyTorch, SQL, Deep Learning, Figma","Docker, Figma",IoT,Undergraduate,1,Embedded Systems Engineer
"Machine Learning, NLP, Networking, Azure","Kubernetes, Azure Portal, Figma, Jupyter",IoT,Undergraduate,2,Embedded Systems Engineer
"Embedded Systems, HTML, Statistics, Machine Learning","Figma, Docker",Cybersecurity,Undergraduate,1,Security Engineer
"CSS, PyTorch, Statistics, Kubernetes, NLP, Python, Docker","Azure Portal, GitLab, Google Cloud",Design,Graduate,3,UI/UX Designer
"AWS, Figma, CSS, TensorFlow, React, Python, HTML","Jira, AWS EC2, GitHub",AI/ML,Undergraduate,7,Machine Learning Engineer
"Figma, TensorFlow, Git, NLP","Jupyter, VS Code",Web Development,Undergraduate,4,Frontend Developer
"UI/UX, Azure, Spark, Python","PyCharm, Azure Portal, Figma",Cloud,Graduate,0,DevOps Engineer
"Deep Learning, Networking, Data Analysis, Embedded Systems, JavaScript","Google Cloud, Docker",Design,Undergraduate,1,UI/UX Designer
"Linux, HTML, Python, CSS, PyTorch, Machine Learning","GitHub, Google Cloud, Figma, Docker",IoT,Postgraduate,7,Embedded Systems Engineer
"PyTorch, Embedded Systems, Figma, Azure, Java, Machine Learning","PyCharm, Azure Portal",Cloud,Undergraduate,2,DevOps Engineer
"NLP, UI/UX, PyTorch, Spark, Java","Figma, Jupyter, GitHub",Cloud,Postgraduate,3,DevOps Engineer
"JavaScript, Docker, Embedded Systems, Kubernetes, Deep Learning, Java","AWS EC2, Azure Portal, Google Cloud, Jupyter",Cybersecurity,Postgraduate,7,Security Engineer
"SQL, Tableau, Figma, Embedded Systems, React, Cybersecurity, Git","VS Code, GitLab",Web Development,Postgraduate,10,Frontend Developer
"Data Analysis, AWS, Tableau, PyTorch","Google Cloud, GitHub, Postman, Figma",Design,Undergraduate,2,UI/UX Designer
"Hadoop, SQL, C++, Figma, Power BI, Kubernetes","Kubernetes, Jira",Design,Graduate,5,UI/UX Designer
"Git, Deep Learning, JavaScript, React, Kubernetes","Docker, GitHub, AWS EC2",Web Development,Undergraduate,6,Frontend Developer
"Kubernetes, HTML, Docker, Data Analysis, UI/UX, JavaScript","Google Cloud, Azure Portal, PyCharm",Data Science,Graduate,2,Data Scientist
"SQL, Git, Networking, TensorFlow","Figma, GitHub",Web Development,Postgraduate,10,Frontend Developer
"Docker, NLP, Java, REST APIs, PyTorch","AWS EC2, VS Code",Cybersecurity,Postgraduate,3,Cybersecurity Analyst
"Power BI, Spark, Java, TensorFlow","Postman, GitHub",Cybersecurity,Postgraduate,2,Security Engineer
"CSS, TensorFlow, Data Analysis, REST APIs","Figma, GitHub",IoT,Graduate,4,Embedded Systems Engineer
"Networking, Statistics, Git, Figma, HTML","Google Cloud, Docker",Cybersecurity,Graduate,6,Security Engineer
"SQL, Linux, Statistics, Power BI, JavaScript, Git","Postman, GitLab, PyCharm, Jira",Web Development,Graduate,8,Backend Developer
"Machine Learning, AWS, Figma, Cybersecurity","AWS EC2, Jupyter",Design,Undergraduate,3,UI/UX Designer
"HTML, Figma, SQL, Power BI, Statistics, NLP","Jupyter, Jira, Docker, GitHub",Cybersecurity,Postgraduate,2,Cybersecurity Analyst
"Git, NLP, C++, React, REST APIs","AWS EC2, Docker",Web Development,Graduate,1,Frontend Developer
"Deep Learning, HTML, Python, CSS, Power BI, Linux","Azure Portal, VS Code",Web Development,Postgraduate,10,Frontend Developer
"Spark, Statistics, REST APIs, Node.js, Figma","Jira, Azure Portal, Docker, Figma",AI/ML,Undergraduate,7,Machine Learning Engineer
"Linux, Azure, HTML, Hadoop, Java","Docker, AWS EC2, Figma",AI/ML,Graduate,3,AI Engineer
"AWS, Java, C++, Deep Learning, Tableau, Networking, Figma","PyCharm, VS Code",AI/ML,Graduate,7,AI Engineer
"SQL, Spark, NLP, Tableau, TensorFlow, React, Git","Jira, PyCharm, Docker",Cloud,Postgraduate,2,Cloud Engineer
"Java, CSS, Deep Learning, TensorFlow, Tableau","PyCharm, Azure Portal",Design,Undergraduate,1,UI/UX Designer
"Node.js, Tableau, Azure, Kubernetes","AWS EC2, VS Code",Cloud,Graduate,6,DevOps Engineer
"Power BI, CSS, Git, Deep Learning, Azure","Figma, Jupyter",Data Science,Graduate,4,Data Analyst
"Embedded Systems, Figma, Data Analysis, Cybersecurity, Python, Docker, UI/UX","Azure Portal, VS Code, Postman, Figma",Design,Postgraduate,7,UI/UX Designer
"Machine Learning, AWS, Node.js, Data Analysis, PyTorch","Jupyter, VS Code, AWS EC2, Jira",Cybersecurity,Undergraduate,7,Cybersecurity Analyst
"Hadoop, C++, UI/UX, AWS, TensorFlow","Jira, GitHub, Postman, VS Code",IoT,Undergraduate,2,Embedded Systems Engineer
"C++, Deep Learning, Tableau, Machine Learning, SQL, Data Analysis, Hadoop","Azure Portal, VS Code",Web Development,Undergraduate,9,Backend Developer
"CSS, Hadoop, Linux, Data Analysis","Figma, Google Cloud, Jupyter",Data Science,Graduate,9,Data Analyst
"Python, C++, Linux, UI/UX, Power BI","Jupyter, Azure Portal, Docker, AWS EC2",Web Development,Graduate,3,Frontend Developer
"Deep Learning, REST APIs, Embedded Systems, Networking","Jira, Google Cloud, Azure Portal",Web Development,Postgraduate,1,Frontend Developer
"NLP, Power BI, TensorFlow, Linux, Java, Tableau","PyCharm, Google Cloud, VS Code",Cloud,Undergraduate,7,Cloud Engineer
"TensorFlow, Kubernetes, Deep Learning, REST APIs, Java, Cybersecurity, Linux","Jira, Google Cloud, Postman",Web Development,Graduate,7,Backend Developer
"Cybersecurity, Spark, Data Analysis, Statistics","Jupyter, Kubernetes, Docker",Cloud,Graduate,0,Cloud Engineer
"AWS, Machine Learning, JavaScript, Git, Linux, React, CSS","GitLab, Azure Portal, Docker",Web Development,Graduate,9,Backend Developer
"Python, Java, SQL, Cybersecurity","Docker, Jira, AWS EC2",Data Science,Undergraduate,3,Data Scientist
"NLP, UI/UX, Tableau, Linux, Figma, Embedded Systems","Kubernetes, GitLab",Design,Postgraduate,9,UI/UX Designer
"React, CSS, Cybersecurity, C++, UI/UX, Figma, SQL","Jupyter, Google Cloud, PyCharm, Postman",Data Science,Graduate,2,Data Scientist
"Git, Java, Kubernetes, JavaScript, Hadoop, UI/UX, TensorFlow","GitLab, Docker, Postman",IoT,Postgraduate,4,Embedded Systems Engineer
"Java, React, UI/UX, NLP, Power BI, Tableau","Docker, PyCharm",Web Development,Graduate,6,Backend Developer
"Embedded Systems, NLP, CSS, Statistics","Postman, Azure Portal, Docker",Design,Graduate,8,UI/UX Designer
"Power BI, Git, Statistics, HTML, NLP, Tableau","Kubernetes, AWS EC2, GitHub",Web Development,Graduate,4,Backend Developer
"Deep Learning, NLP, UI/UX, Statistics","Azure Portal, AWS EC2",Web Development,Graduate,9,Frontend Developer
"UI/UX, Data Analysis, Tableau, JavaScript, Java, Deep Learning, Machine Learning","PyCharm, Jupyter, VS Code, Docker",AI/ML,Postgraduate,7,Machine Learning Engineer
"Embedded Systems, REST APIs, TensorFlow, Kubernetes, NLP, Tableau, Git","Jira, PyCharm",IoT,Undergraduate,9,Embedded Systems Engineer
"Cybersecurity, C++, Java, Spark, HTML","PyCharm, Kubernetes, Google Cloud",Cybersecurity,Undergraduate,4,Cybersecurity Analyst
"NLP, Git, Tableau, Data Analysis","GitHub, Jira, Google Cloud",Web Development,Graduate,2,Backend Developer
"SQL, React, HTML, PyTorch","Jupyter, Jira, Figma, GitLab",Cybersecurity,Postgraduate,4,Cybersecurity Analyst
"Embedded Systems, Node.js, NLP, Hadoop","Jupyter, AWS EC2",AI/ML,Graduate,8,AI Engineer
"REST APIs, UI/UX, Python, CSS","Azure Portal, PyCharm, Jupyter",Cloud,Postgraduate,4,Cloud Engineer
"Python, Statistics, JavaScript, React","GitHub, Docker, Postman",Cybersecurity,Graduate,2,Security Engineer
"Machine Learning, UI/UX, Networking, Java, REST APIs","Figma, Google Cloud, VS Code, Docker",Web Development,Undergraduate,9,Backend Developer
"Networking, Tableau, JavaScript, Embedded Systems","Jupyter, GitHub",IoT,Postgraduate,4,Embedded Systems Engineer
"Networking, Spark, C++, JavaScript","Docker, GitLab",Design,Undergraduate,10,UI/UX Designer
"Figma, React, Spark, Java, Git, REST APIs","Jira, Kubernetes",AI/ML,Postgraduate,8,AI Engineer
"CSS, Deep Learning, Kubernetes, AWS, Spark, NLP, Java","Azure Portal, Figma, Postman, Jupyter",Data Science,Postgraduate,10,Data Analyst
"CSS, PyTorch, Power BI, JavaScript, Embedded Systems","VS Code, Azure Portal",Data Science,Postgraduate,3,Data Analyst
"Linux, Machine Learning, Embedded Systems, Networking, NLP, Java","Docker, PyCharm",AI/ML,Graduate,10,AI Engineer
"REST APIs, C++, Git, CSS, Node.js","PyCharm, Docker, GitLab, Figma",Cybersecurity,Graduate,9,Cybersecurity Analyst
"Azure, Embedded Systems, NLP, Power BI, Docker, UI/UX, Deep Learning","Docker, VS Code, GitLab, GitHub",Cloud,Graduate,5,DevOps Engineer
"Power BI, Git, Networking, React, HTML, Hadoop, Embedded Systems","VS Code, Figma",Cloud,Graduate,3,DevOps Engineer
"Hadoop, Cybersecurity, CSS, JavaScript","PyCharm, Postman, Jira, Figma",Cybersecurity,Graduate,8,Cybersecurity Analyst
"Networking, JavaScript, AWS, Embedded Systems, C++, Power BI","Google Cloud, Azure Portal, GitLab, Postman",Cybersecurity,Undergraduate,2,Cybersecurity Analyst
"Docker, Java, CSS, SQL, Git","AWS EC2, Jupyter, Docker",AI/ML,Undergraduate,4,AI Engineer
"Figma, Azure, PyTorch, JavaScript","AWS EC2, Docker",Data Science,Graduate,9,Data Analyst
"Cybersecurity, Tableau, CSS, C++","VS Code, AWS EC2",IoT,Undergraduate,9,Embedded Systems Engineer
"C++, Tableau, Embedded Systems, Spark, AWS, HTML","Kubernetes, VS Code, Jira",AI/ML,Undergraduate,7,Machine Learning Engineer
"Machine Learning, Embedded Systems, React, Python, Tableau, Power BI","GitHub, GitLab",Design,Graduate,1,UI/UX Designer
"REST APIs, Embedded Systems, Statistics, Git, PyTorch","Kubernetes, GitLab",AI/ML,Postgraduate,0,Machine Learning Engineer
"UI/UX, JavaScript, Power BI, Linux, Java, Kubernetes, Docker","AWS EC2, Kubernetes, VS Code",Cybersecurity,Undergraduate,3,Cybersecurity Analyst
"Spark, Power BI, Figma, AWS, TensorFlow, PyTorch","Kubernetes, AWS EC2",Data Science,Graduate,4,Data Scientist
"JavaScript, Node.js, Networking, REST APIs, Machine Learning, PyTorch","Google Cloud, Postman",AI/ML,Undergraduate,10,Machine Learning Engineer
"C++, Spark, Deep Learning, Git, AWS, REST APIs","Postman, Jira, PyCharm, Kubernetes",IoT,Graduate,7,Embedded Systems Engineer
"Linux, CSS, Node.js, Networking, Docker, Machine Learning","Figma, Jupyter, Postman",IoT,Postgraduate,4,Embedded Systems Engineer
"Hadoop, Docker, REST APIs, TensorFlow, NLP","GitHub, Azure Portal, Google Cloud",Data Science,Graduate,0,Data Analyst
"TensorFlow, Statistics, Git, Power BI, CSS, Node.js, Python","PyCharm, GitLab, VS Code, Postman",AI/ML,Postgraduate,3,AI Engineer
"Statistics, Figma, Networking, Power BI, Linux, Machine Learning, Node.js","Figma, GitHub",IoT,Graduate,3,Embedded Systems Engineer
"Java, Statistics, Deep Learning, Linux, Hadoop","Azure Portal, Jupyter",Web Development,Undergraduate,1,Backend Developer
"Tableau, Power BI, TensorFlow, Kubernetes","PyCharm, Google Cloud",AI/ML,Graduate,8,Machine Learning Engineer
"Hadoop, Linux, SQL, Tableau, Kubernetes, Networking, Figma","Google Cloud, Kubernetes, Postman",Data Science,Postgraduate,3,Data Analyst
"Power BI, REST APIs, Java, Cybersecurity, HTML, Hadoop","Docker, Jira, Kubernetes, GitHub",Design,Graduate,1,UI/UX Designer
"TensorFlow, C++, JavaScript, Kubernetes, Figma","AWS EC2, GitHub, Azure Portal, VS Code",Cybersecurity,Postgraduate,1,Cybersecurity Analyst
"Kubernetes, Tableau, Embedded Systems, HTML, Machine Learning, Docker, NLP","Postman, Jupyter, GitHub",AI/ML,Postgraduate,0,Machine Learning Engineer
"HTML, Deep Learning, Data Analysis, Hadoop, Kubernetes, UI/UX","Docker, GitLab, GitHub, Google Cloud",Cybersecurity,Undergraduate,0,Security Engineer
"Node.js, Azure, Deep Learning, Statistics, Embedded Systems","PyCharm, Jupyter",Design,Undergraduate,9,UI/UX Designer
"Hadoop, Figma, React, HTML, Power BI","Azure Portal, AWS EC2, Jupyter",AI/ML,Graduate,0,AI Engineer
"Python, Embedded Systems, UI/UX, Docker, Data Analysis","Kubernetes, GitHub, AWS EC2",Data Science,Graduate,7,Data Analyst
"AWS, Cybersecurity, SQL, Data Analysis, Azure","PyCharm, VS Code, Google Cloud",Design,Graduate,3,UI/UX Designer
"React, Linux, Git, Node.js, PyTorch, HTML, Statistics","Jira, Postman, Figma, Jupyter",Design,Postgraduate,10,UI/UX Designer
"TensorFlow, HTML, Figma, Kubernetes, NLP, SQL, Java","Docker, Jupyter, Azure Portal, VS Code",Cloud,Postgraduate,1,Cloud Engineer
"SQL, Node.js, Docker, React, Data Analysis","Azure Portal, GitHub, Jupyter, PyCharm",Data Science,Undergraduate,4,Data Analyst
"React, JavaScript, Git, SQL, Python, NLP","Jupyter, Docker, GitLab, Jira",Data Science,Postgraduate,5,Data Scientist
"CSS, HTML, Machine Learning, NLP, Java","Jira, VS Code, GitLab",AI/ML,Undergraduate,7,Machine Learning Engineer
"JavaScript, AWS, Deep Learning, SQL","Jira, AWS EC2",Web Development,Graduate,4,Backend Developer
"JavaScript, REST APIs, PyTorch, Embedded Systems","VS Code, PyCharm, Postman",Web Development,Undergraduate,5,Frontend Developer
"NLP, UI/UX, Power BI, Azure, Cybersecurity","Postman, Kubernetes",Cloud,Postgraduate,9,Cloud Engineer
"Figma, Machine Learning, Networking, HTML, Tableau","PyCharm, Jira, Postman",Cloud,Postgraduate,6,DevOps Engineer
"React, Docker, Kubernetes, Java, Linux, REST APIs, Python","Kubernetes, Azure Portal, AWS EC2",AI/ML,Graduate,6,Machine Learning Engineer
"Docker, Deep Learning, Git, Java, Statistics, Tableau","Jira, Kubernetes, VS Code",Cybersecurity,Undergraduate,0,Cybersecurity Analyst
"Tableau, Node.js, Java, React","Jira, Docker, Jupyter, PyCharm",IoT,Graduate,10,Embedded Systems Engineer
"HTML, Kubernetes, Node.js, Embedded Systems, SQL, Git","GitHub, Postman, Docker",Web Development,Undergraduate,6,Frontend Developer
"AWS, Networking, Node.js, Kubernetes, Docker, Embedded Systems","Jira, PyCharm, Postman",Design,Undergraduate,2,UI/UX Designer
"Figma, Azure, Linux, NLP, TensorFlow","GitHub, Jira",IoT,Graduate,5,Embedded Systems Engineer
"HTML, Python, Machine Learning, Node.js, CSS, Spark","GitLab, Kubernetes, PyCharm, VS Code",Design,Undergraduate,7,UI/UX Designer
"Hadoop, REST APIs, Python, AWS","Jupyter, PyCharm",Design,Graduate,5,UI/UX Designer
"Cybersecurity, Node.js, UI/UX, PyTorch","GitHub, Kubernetes",Cybersecurity,Graduate,0,Cybersecurity Analyst
"Data Analysis, Hadoop, Azure, Figma, Machine Learning","Google Cloud, PyCharm, Kubernetes, GitLab",Web Development,Graduate,5,Backend Developer
"Node.js, SQL, Docker, Figma, HTML, Linux, Machine Learning","Docker, Figma, Google Cloud, Jira",AI/ML,Graduate,3,Machine Learning Engineer
"SQL, Statistics, C++, CSS","VS Code, Figma, Azure Portal, PyCharm",Web Development,Postgraduate,0,Frontend Developer
"AWS, Power BI, TensorFlow, HTML, Docker, PyTorch, SQL","GitLab, Google Cloud",Cybersecurity,Undergraduate,0,Cybersecurity Analyst
"Kubernetes, Networking, Hadoop, AWS, UI/UX, CSS, TensorFlow","GitLab, Docker",Design,Postgraduate,9,UI/UX Designer
"Embedded Systems, Spark, Figma, React, Cybersecurity","Google Cloud, AWS EC2, Docker, GitHub",Cloud,Graduate,8,Cloud Engineer
"Java, Statistics, Azure, UI/UX, Linux, Data Analysis","Azure Portal, Postman, GitLab",Cybersecurity,Postgraduate,7,Security Engineer
"Java, Python, Node.js, NLP, Machine Learning, HTML, C++","Google Cloud, AWS EC2, Postman",Data Science,Undergraduate,6,Data Analyst
"Tableau, Power BI, TensorFlow, Data Analysis, REST APIs, Python, AWS","Kubernetes, Jupyter, Jira, GitLab",Data Science,Graduate,1,Data Analyst
"Deep Learning, CSS, REST APIs, Cybersecurity","VS Code, AWS EC2, Figma, Google Cloud",AI/ML,Undergraduate,4,Machine Learning Engineer
"Embedded Systems, Figma, SQL, Python","Jira, GitLab",Cloud,Graduate,2,DevOps Engineer
"Git, Azure, Tableau, Python","Jira, GitLab, Docker, Figma",Web Development,Graduate,0,Frontend Developer
"Docker, Spark, Figma, REST APIs","Jira, AWS EC2, Figma, Jupyter",Design,Graduate,4,UI/UX Designer
"Tableau, Deep Learning, Power BI, Java, PyTorch, Hadoop","Jira, AWS EC2, Google Cloud",AI/ML,Graduate,8,Machine Learning Engineer
"C++, React, Figma, Docker, Power BI","GitHub, Jupyter",Data Science,Undergraduate,10,Data Scientist
"Azure, Python, NLP, Linux, Tableau, Git, TensorFlow","Google Cloud, Kubernetes, GitLab",AI/ML,Undergraduate,10,AI Engineer
"Hadoop, Power BI, UI/UX, TensorFlow","Azure Portal, Figma, Google Cloud, Kubernetes",Cloud,Undergraduate,3,Cloud Engineer
"Deep Learning, CSS, Docker, SQL, HTML, AWS, Networking","Jira, Docker, Azure Portal",AI/ML,Postgraduate,10,Machine Learning Engineer
"Linux, HTML, React, AWS, Azure, Python","Jira, Figma",Cybersecurity,Graduate,3,Cybersecurity Analyst
"Linux, Statistics, HTML, Deep Learning","PyCharm, GitLab",Cloud,Undergraduate,10,Cloud Engineer
"Node.js, Kubernetes, React, Networking, Hadoop, C++","Azure Portal, Docker, AWS EC2, GitLab",Data Science,Undergraduate,5,Data Analyst
"Statistics, CSS, Embedded Systems, JavaScript, HTML, React, Azure","Postman, Jira",Cybersecurity,Postgraduate,10,Security Engineer
"Cybersecurity, Statistics, TensorFlow, AWS, Kubernetes, Git, Node.js","Figma, Jupyter, Jira, Google Cloud",Data Science,Postgraduate,9,Data Scientist
"AWS, Kubernetes, Networking, Docker, HTML, Deep Learning, NLP","PyCharm, AWS EC2, Jira, Jupyter",Cybersecurity,Graduate,8,Security Engineer
"Java, React, Networking, UI/UX, Docker","GitLab, VS Code",Cybersecurity,Postgraduate,9,Security Engineer
"AWS, UI/UX, CSS, REST APIs, Linux, Tableau, Networking","GitLab, VS Code, Azure Portal, Postman",IoT,Undergraduate,5,Embedded Systems Engineer
"Figma, C++, Networking, Python","GitHub, Google Cloud",AI/ML,Graduate,3,Machine Learning Engineer
"Cybersecurity, Linux, Networking, Tableau, Deep Learning, React, REST APIs","Kubernetes, Jira, GitHub, Jupyter",Web Development,Undergraduate,5,Frontend Developer
"CSS, Git, Docker, Azure, NLP, Python, Embedded Systems","Google Cloud, Jira",Data Science,Graduate,9,Data Scientist
"Cybersecurity, HTML, Figma, Networking, NLP, Data Analysis","GitLab, Docker",Cybersecurity,Graduate,8,Security Engineer
"Python, JavaScript, Cybersecurity, Node.js, C++, Kubernetes","Kubernetes, GitLab, Jupyter",Cloud,Postgraduate,10,DevOps Engineer
"Azure, Data Analysis, AWS, Machine Learning, Spark, NLP, Docker","PyCharm, Postman, AWS EC2, GitHub",Web Development,Graduate,3,Frontend Developer
"PyTorch, NLP, Statistics, Embedded Systems, Python","GitLab, GitHub, Jira, Figma",IoT,Undergraduate,6,Embedded Systems Engineer
"CSS, Azure, Tableau, Kubernetes, SQL, Statistics","Jira, Figma",Data Science,Undergraduate,7,Data Analyst
"Statistics, Deep Learning, Node.js, Java, Cybersecurity, Hadoop, Data Analysis","Kubernetes, GitHub",Web Development,Undergraduate,2,Frontend Developer
"Kubernetes, Embedded Systems, NLP, CSS, Tableau","GitLab, Figma, Azure Portal, Google Cloud",Design,Undergraduate,0,UI/UX Designer
"REST APIs, Machine Learning, Linux, Azure, Docker","Azure Portal, Docker, Jupyter",Cybersecurity,Graduate,5,Security Engineer
"Machine Learning, UI/UX, AWS, SQL","Jupyter, VS Code, GitLab, AWS EC2",Cybersecurity,Undergraduate,8,Cybersecurity Analyst
"Git, CSS, Power BI, NLP, SQL, Python, Statistics","Jira, Postman, Jupyter, Google Cloud",Cybersecurity,Undergraduate,2,Cybersecurity Analyst
"Node.js, Power BI, TensorFlow, CSS, Python, NLP","Jupyter, Postman, Docker, GitLab",Cloud,Graduate,6,Cloud Engineer
"Node.js, Power BI, Docker, Cybersecurity, Java, HTML","PyCharm, Jupyter, Azure Portal, VS Code",Cloud,Postgraduate,10,Cloud Engineer
"Power BI, Python, Hadoop, Tableau, React, Git, Networking","Google Cloud, PyCharm, AWS EC2, VS Code",IoT,Undergraduate,5,Embedded Systems Engineer
"Python, Docker, Machine Learning, AWS, C++, Deep Learning, Cybersecurity","Postman, Azure Portal, GitHub, Kubernetes",Cloud,Postgraduate,10,Cloud Engineer
"AWS, Linux, Kubernetes, JavaScript, HTML, SQL","AWS EC2, VS Code, Docker",Web Development,Undergraduate,2,Backend Developer
"Linux, PyTorch, Java, Git, AWS","GitHub, Azure Portal, Docker, AWS EC2",AI/ML,Undergraduate,0,Machine Learning Engineer
"Spark, TensorFlow, Docker, PyTorch","Figma, VS Code, AWS EC2, GitLab",Web Development,Postgraduate,4,Frontend Developer
"Docker, Azure, Spark, NLP, Figma, Tableau, Power BI","Docker, Google Cloud, PyCharm, GitLab",Data Science,Postgraduate,6,Data Analyst
