,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
1782,"ui/ux, pytorch, figma, java","google cloud, aws ec2",data science,postgraduate,Data Analyst,data analyst
1783,"kubernetes, linux, react, python, tensorflow, java","vs code, gitlab",cloud,undergraduate,DevOps Engineer,devops engineer
1784,"javascript, nlp, embedded systems, hadoop","docker, figma",web development,graduate,Frontend Developer,frontend developer
1785,"python, networking, data analysis, statistics, sql","figma, aws ec2, pycharm",ai/ml,graduate,AI Engineer,ai engineer
1786,"networking, docker, git, sql","jupyter, postman",web development,graduate,Frontend Developer,frontend developer
1787,"ui/ux, figma, data analysis, pytorch, rest apis, css, embedded systems","jira, docker, aws ec2, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
1788,"javascript, power bi, node.js, python, html, hadoop, git","kubernetes, figma, google cloud, aws ec2",cybersecurity,undergraduate,Security Engineer,security engineer
1789,"figma, javascript, statistics, tableau","gitlab, github, google cloud",web development,postgraduate,Backend Developer,backend developer
1790,"hadoop, tensorflow, sql, html, docker, aws, kubernetes","jira, jupyter, kubernetes, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1791,"react, html, rest apis, statistics","docker, gitlab, postman",web development,undergraduate,Frontend Developer,frontend developer
1792,"node.js, linux, data analysis, machine learning, sql, html, azure","gitlab, google cloud",web development,undergraduate,Backend Developer,backend developer
1793,"node.js, spark, cybersecurity, nlp, rest apis","docker, postman, vs code",web development,graduate,Backend Developer,backend developer
1794,"css, python, html, embedded systems, deep learning, aws","jupyter, vs code, postman",web development,undergraduate,Frontend Developer,frontend developer
1795,"react, azure, c++, docker","github, aws ec2",design,undergraduate,UI/UX Designer,ui/ux designer
1796,"spark, networking, linux, data analysis, cybersecurity","jira, github, jupyter",ai/ml,postgraduate,AI Engineer,ai engineer
1797,"node.js, pytorch, data analysis, power bi","kubernetes, postman, pycharm",cloud,undergraduate,DevOps Engineer,devops engineer
1798,"javascript, cybersecurity, networking, react","google cloud, github, aws ec2, jupyter",ai/ml,postgraduate,AI Engineer,ai engineer
1799,"embedded systems, git, azure, pytorch, hadoop, linux, sql","figma, github",data science,postgraduate,Data Analyst,data analyst
1800,"ui/ux, hadoop, node.js, c++, aws, power bi","github, aws ec2, vs code",cybersecurity,graduate,Security Engineer,security engineer
1801,"javascript, tensorflow, c++, figma, spark, python","jupyter, jira",data science,postgraduate,Data Analyst,data analyst
1802,"javascript, linux, figma, embedded systems, css","gitlab, docker",ai/ml,undergraduate,AI Engineer,ai engineer
1803,"sql, ui/ux, docker, deep learning, html, power bi","pycharm, aws ec2",cloud,graduate,Cloud Engineer,cloud engineer
1804,"tensorflow, kubernetes, aws, react, html","jira, figma, kubernetes",data science,postgraduate,Data Scientist,data scientist
1805,"c++, hadoop, java, azure, cybersecurity, embedded systems","kubernetes, vs code",web development,postgraduate,Frontend Developer,frontend developer
1806,"rest apis, machine learning, pytorch, embedded systems","aws ec2, jira, gitlab, kubernetes",iot,graduate,Embedded Systems Engineer,embedded systems engineer
1807,"docker, embedded systems, spark, azure","postman, gitlab, jupyter",cloud,graduate,DevOps Engineer,devops engineer
1808,"node.js, rest apis, python, sql, azure, linux, c++","docker, postman, figma",cybersecurity,undergraduate,Security Engineer,security engineer
1809,"tensorflow, azure, html, kubernetes, sql, nlp","pycharm, postman",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1810,"linux, tableau, machine learning, pytorch, java, rest apis, css","kubernetes, postman, docker, figma",data science,graduate,Data Scientist,data scientist
1811,"javascript, python, pytorch, power bi, c++, react, nlp","google cloud, kubernetes, aws ec2",cloud,undergraduate,DevOps Engineer,devops engineer
1812,"node.js, aws, ui/ux, pytorch, css, java, figma","github, postman",cybersecurity,postgraduate,Security Engineer,security engineer
1813,"pytorch, react, tensorflow, hadoop, javascript, linux","github, figma, google cloud, jira",ai/ml,undergraduate,AI Engineer,ai engineer
1814,"statistics, python, rest apis, html, css, java, pytorch","github, vs code, jira, gitlab",web development,undergraduate,Frontend Developer,frontend developer
1815,"data analysis, machine learning, sql, azure","jupyter, pycharm",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
1816,"networking, javascript, rest apis, git, power bi, react, azure","kubernetes, docker, figma",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1817,"spark, tensorflow, rest apis, networking, html, sql, deep learning","github, azure portal",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1818,"networking, nlp, cybersecurity, rest apis, c++","docker, aws ec2, pycharm, google cloud",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1819,"tensorflow, sql, html, python, linux, c++, javascript","kubernetes, pycharm",cloud,graduate,DevOps Engineer,devops engineer
1820,"tableau, nlp, javascript, power bi","jupyter, figma, vs code",cloud,graduate,DevOps Engineer,devops engineer
1821,"pytorch, tensorflow, linux, node.js, networking","google cloud, gitlab",ai/ml,graduate,AI Engineer,ai engineer
1822,"networking, docker, sql, statistics, node.js, pytorch","kubernetes, gitlab",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
1823,"git, javascript, c++, machine learning, ui/ux","jupyter, google cloud, docker, jira",ai/ml,undergraduate,AI Engineer,ai engineer
1824,"html, tableau, node.js, cybersecurity, c++, docker, figma","github, postman",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1825,"tableau, css, embedded systems, tensorflow, cybersecurity","aws ec2, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1826,"ui/ux, linux, tensorflow, git, deep learning, hadoop","jira, docker, pycharm",data science,graduate,Data Analyst,data analyst
1827,"tableau, deep learning, data analysis, azure, machine learning","google cloud, azure portal, github, postman",cloud,undergraduate,DevOps Engineer,devops engineer
1828,"embedded systems, kubernetes, cybersecurity, pytorch, c++","azure portal, kubernetes, github, google cloud",cybersecurity,undergraduate,Security Engineer,security engineer
1829,"deep learning, kubernetes, docker, statistics, spark","figma, azure portal, postman",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1830,"css, figma, docker, azure","aws ec2, github, figma, kubernetes",web development,graduate,Backend Developer,backend developer
1831,"networking, java, rest apis, nlp, power bi, figma, statistics","jira, figma, jupyter",cybersecurity,graduate,Security Engineer,security engineer
1832,"html, sql, linux, power bi","jira, pycharm, github, docker",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
1833,"javascript, embedded systems, python, java, hadoop, aws, css","pycharm, vs code, figma, kubernetes",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
1834,"figma, data analysis, java, rest apis, git, tensorflow, nlp","google cloud, pycharm",web development,undergraduate,Frontend Developer,frontend developer
1835,"cybersecurity, tableau, css, data analysis","figma, google cloud, azure portal",cybersecurity,postgraduate,Security Engineer,security engineer
1836,"css, networking, node.js, figma, javascript","pycharm, docker, figma",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1837,"pytorch, networking, spark, html, javascript, css, c++","github, postman, gitlab, azure portal",design,undergraduate,UI/UX Designer,ui/ux designer
1838,"linux, power bi, azure, hadoop, react, deep learning, java","vs code, azure portal, figma, gitlab",design,graduate,UI/UX Designer,ui/ux designer
1839,"aws, hadoop, nlp, cybersecurity, rest apis","gitlab, vs code",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1840,"embedded systems, cybersecurity, aws, c++, figma","google cloud, jira, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1841,"statistics, networking, nlp, java","azure portal, postman, kubernetes, vs code",ai/ml,graduate,AI Engineer,ai engineer
1842,"deep learning, aws, kubernetes, java","kubernetes, docker, postman, gitlab",web development,postgraduate,Backend Developer,backend developer
1843,"tensorflow, spark, javascript, git, embedded systems","vs code, figma",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1844,"cybersecurity, rest apis, sql, power bi, pytorch, kubernetes","aws ec2, figma",web development,undergraduate,Backend Developer,backend developer
1845,"docker, cybersecurity, networking, azure, aws","github, vs code, jupyter, pycharm",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1846,"aws, power bi, deep learning, tensorflow, linux","pycharm, figma",cloud,undergraduate,DevOps Engineer,devops engineer
1847,"networking, rest apis, deep learning, cybersecurity","postman, vs code",iot,graduate,Embedded Systems Engineer,embedded systems engineer
1848,"ui/ux, embedded systems, power bi, nlp, tensorflow","gitlab, postman, github",data science,undergraduate,Data Scientist,data scientist
1849,"cybersecurity, networking, git, machine learning, python","aws ec2, gitlab, figma",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1850,"c++, machine learning, hadoop, nlp, data analysis","pycharm, vs code, docker, jira",cybersecurity,undergraduate,Security Engineer,security engineer
1851,"aws, css, rest apis, networking, power bi","docker, github, aws ec2",data science,postgraduate,Data Scientist,data scientist
1852,"docker, sql, power bi, c++, java, html, statistics","jupyter, docker, github, jira",design,graduate,UI/UX Designer,ui/ux designer
1853,"spark, data analysis, docker, kubernetes, css","jupyter, gitlab",cloud,undergraduate,DevOps Engineer,devops engineer
1854,"spark, aws, python, tableau, git, javascript, rest apis","github, kubernetes",design,graduate,UI/UX Designer,ui/ux designer
1855,"tableau, javascript, pytorch, html, spark, power bi, deep learning","postman, pycharm, google cloud, vs code",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
1856,"hadoop, kubernetes, statistics, c++","docker, jupyter, gitlab",web development,graduate,Frontend Developer,frontend developer
1857,"python, data analysis, figma, azure","postman, google cloud, kubernetes, pycharm",ai/ml,postgraduate,AI Engineer,ai engineer
1858,"machine learning, nlp, tableau, figma, azure, html, ui/ux","gitlab, jupyter",data science,graduate,Data Scientist,data scientist
1859,"ui/ux, javascript, sql, pytorch","google cloud, pycharm, vs code",data science,postgraduate,Data Analyst,data analyst
1860,"ui/ux, hadoop, spark, tableau, python, data analysis, react","pycharm, aws ec2, vs code",web development,graduate,Frontend Developer,frontend developer
1861,"pytorch, cybersecurity, embedded systems, rest apis","jira, github, aws ec2, docker",data science,graduate,Data Analyst,data analyst
1862,"python, hadoop, kubernetes, sql, node.js","jupyter, docker, google cloud",cybersecurity,undergraduate,Security Engineer,security engineer
1863,"react, data analysis, javascript, networking, nlp","figma, github, vs code",cloud,undergraduate,Cloud Engineer,cloud engineer
1864,"embedded systems, docker, nlp, javascript, c++, sql, hadoop","vs code, pycharm, jupyter",web development,postgraduate,Frontend Developer,frontend developer
1865,"hadoop, ui/ux, deep learning, rest apis, networking, git","pycharm, figma, azure portal",design,postgraduate,UI/UX Designer,ui/ux designer
1866,"spark, javascript, docker, pytorch, tensorflow","pycharm, github",cloud,graduate,Cloud Engineer,cloud engineer
1867,"sql, figma, html, c++, aws, ui/ux","jira, pycharm",data science,postgraduate,Data Scientist,data scientist
1868,"networking, spark, data analysis, sql, machine learning, html","postman, jupyter, kubernetes, google cloud",data science,postgraduate,Data Scientist,data scientist
1869,"ui/ux, sql, html, embedded systems, power bi","aws ec2, github, docker, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1870,"html, deep learning, figma, data analysis, react, ui/ux","docker, gitlab, vs code, google cloud",data science,postgraduate,Data Analyst,data analyst
1871,"kubernetes, docker, sql, networking","aws ec2, jupyter, jira",data science,graduate,Data Analyst,data analyst
1872,"kubernetes, cybersecurity, sql, pytorch, git, javascript, rest apis","figma, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
1873,"javascript, tableau, python, node.js, pytorch, tensorflow","postman, figma, gitlab",ai/ml,postgraduate,AI Engineer,ai engineer
1874,"data analysis, react, azure, ui/ux, python","jupyter, aws ec2",iot,graduate,Embedded Systems Engineer,embedded systems engineer
1875,"networking, react, figma, deep learning","docker, kubernetes",data science,graduate,Data Scientist,data scientist
1876,"aws, data analysis, sql, node.js, python, git","azure portal, github, figma, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1877,"hadoop, cybersecurity, javascript, power bi, tableau, react","gitlab, postman",data science,undergraduate,Data Analyst,data analyst
1878,"machine learning, hadoop, git, networking, docker","jira, pycharm",web development,graduate,Frontend Developer,frontend developer
1879,"ui/ux, git, power bi, figma","vs code, gitlab, azure portal, aws ec2",design,undergraduate,UI/UX Designer,ui/ux designer
1880,"machine learning, spark, cybersecurity, linux, python, statistics, react","jupyter, jira, kubernetes, vs code",cloud,postgraduate,Cloud Engineer,cloud engineer
1881,"css, tensorflow, java, docker, figma","figma, docker",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1882,"statistics, react, c++, aws, azure, java","pycharm, google cloud, azure portal",design,undergraduate,UI/UX Designer,ui/ux designer
1883,"azure, aws, spark, react, javascript, machine learning, css","docker, jira, github",cloud,postgraduate,DevOps Engineer,devops engineer
1884,"docker, ui/ux, networking, machine learning, kubernetes, sql","aws ec2, figma",ai/ml,undergraduate,AI Engineer,ai engineer
1885,"azure, hadoop, networking, html, aws","kubernetes, jupyter",web development,graduate,Frontend Developer,frontend developer
1886,"deep learning, aws, java, hadoop, figma, html, nlp","aws ec2, azure portal, gitlab",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
1887,"aws, tensorflow, python, ui/ux, data analysis, sql, docker","gitlab, google cloud",design,graduate,UI/UX Designer,ui/ux designer
1888,"azure, c++, machine learning, aws, java, rest apis","jupyter, postman",data science,graduate,Data Scientist,data scientist
1889,"tableau, kubernetes, spark, ui/ux, docker, cybersecurity, java","gitlab, jupyter, aws ec2, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
1890,"hadoop, java, azure, kubernetes, c++","docker, pycharm, gitlab",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1891,"tableau, c++, cybersecurity, react, figma, aws, tensorflow","jupyter, kubernetes, jira",data science,postgraduate,Data Analyst,data analyst
1892,"azure, aws, python, docker, java, kubernetes","github, vs code, kubernetes",data science,undergraduate,Data Scientist,data scientist
1893,"deep learning, tensorflow, kubernetes, power bi","postman, figma, vs code, gitlab",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1894,"sql, figma, spark, javascript","github, postman, google cloud, jira",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1895,"sql, spark, machine learning, git","aws ec2, postman",cloud,postgraduate,Cloud Engineer,cloud engineer
1896,"rest apis, hadoop, html, statistics, css, c++, kubernetes","azure portal, vs code",cybersecurity,graduate,Security Engineer,security engineer
1897,"ui/ux, docker, embedded systems, figma, python","jira, figma",cloud,undergraduate,DevOps Engineer,devops engineer
1898,"spark, azure, deep learning, hadoop, power bi, aws","gitlab, google cloud",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1899,"azure, embedded systems, machine learning, networking","vs code, google cloud",cloud,undergraduate,Cloud Engineer,cloud engineer
1900,"tensorflow, cybersecurity, react, azure, ui/ux, data analysis","figma, azure portal, vs code, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1901,"networking, html, data analysis, deep learning, linux","docker, aws ec2, jira, pycharm",data science,graduate,Data Analyst,data analyst
1902,"java, tensorflow, power bi, hadoop","aws ec2, gitlab, kubernetes, figma",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1903,"docker, cybersecurity, c++, spark, data analysis, tableau, aws","docker, vs code, google cloud",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1904,"docker, kubernetes, c++, react, tensorflow","pycharm, google cloud",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1905,"nlp, react, c++, python, aws","figma, pycharm, kubernetes, postman",cloud,postgraduate,DevOps Engineer,devops engineer
1906,"azure, react, python, aws, cybersecurity","google cloud, postman, pycharm",iot,graduate,Embedded Systems Engineer,embedded systems engineer
1907,"tensorflow, nlp, kubernetes, html, embedded systems, rest apis, pytorch","postman, github, vs code, kubernetes",web development,graduate,Backend Developer,backend developer
1908,"tableau, aws, react, css, javascript, spark","pycharm, docker, jupyter",cybersecurity,postgraduate,Security Engineer,security engineer
1909,"kubernetes, java, git, ui/ux, azure","pycharm, kubernetes, github",data science,postgraduate,Data Scientist,data scientist
1910,"c++, python, power bi, rest apis, css, azure, git","github, kubernetes",cloud,postgraduate,Cloud Engineer,cloud engineer
1911,"azure, networking, hadoop, tableau","docker, azure portal, vs code",cloud,graduate,DevOps Engineer,devops engineer
1912,"machine learning, git, kubernetes, docker","postman, aws ec2, kubernetes, docker",data science,undergraduate,Data Analyst,data analyst
1913,"sql, rest apis, pytorch, tableau, azure, css, deep learning","figma, jupyter, postman, docker",cloud,undergraduate,Cloud Engineer,cloud engineer
1914,"machine learning, deep learning, pytorch, embedded systems, java","github, figma",web development,postgraduate,Backend Developer,backend developer
1915,"aws, cybersecurity, react, power bi, html, data analysis","jira, figma",data science,undergraduate,Data Scientist,data scientist
1916,"networking, nlp, tableau, rest apis, sql, azure","google cloud, kubernetes, gitlab",cybersecurity,undergraduate,Security Engineer,security engineer
1917,"spark, nlp, git, c++, linux, deep learning, networking","github, azure portal, docker, vs code",data science,undergraduate,Data Analyst,data analyst
1918,"ui/ux, data analysis, docker, azure, power bi, react","google cloud, github, jira, aws ec2",web development,graduate,Frontend Developer,frontend developer
1919,"tableau, tensorflow, html, css, spark, c++, cybersecurity","postman, jupyter, google cloud",ai/ml,graduate,AI Engineer,ai engineer
1920,"javascript, cybersecurity, deep learning, docker","aws ec2, gitlab, kubernetes",cybersecurity,graduate,Security Engineer,security engineer
1921,"docker, statistics, nlp, azure, data analysis","docker, postman",cybersecurity,postgraduate,Security Engineer,security engineer
1922,"ui/ux, pytorch, statistics, deep learning, java, azure, react","vs code, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
1923,"css, git, python, tableau","docker, google cloud, figma",web development,graduate,Frontend Developer,frontend developer
1924,"figma, react, docker, cybersecurity, html","jupyter, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
1925,"node.js, pytorch, figma, tensorflow","vs code, aws ec2, jupyter, figma",cybersecurity,undergraduate,Security Engineer,security engineer
1926,"azure, cybersecurity, javascript, java","kubernetes, postman, pycharm, figma",cloud,graduate,Cloud Engineer,cloud engineer
1927,"tableau, nlp, spark, figma, css","google cloud, jira",design,postgraduate,UI/UX Designer,ui/ux designer
1928,"c++, machine learning, deep learning, node.js","github, jira, gitlab, aws ec2",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
1929,"pytorch, ui/ux, css, tensorflow, networking, nlp, azure","figma, vs code, pycharm",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1930,"node.js, kubernetes, spark, power bi, data analysis, html, c++","jupyter, jira, google cloud",ai/ml,undergraduate,AI Engineer,ai engineer
1931,"html, statistics, networking, css, sql, javascript","postman, figma, jira, gitlab",data science,undergraduate,Data Scientist,data scientist
1932,"css, html, java, cybersecurity","vs code, figma, jira, postman",web development,graduate,Frontend Developer,frontend developer
1933,"docker, javascript, hadoop, sql, nlp, python","docker, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
1934,"cybersecurity, deep learning, statistics, javascript, power bi","jira, kubernetes, figma, jupyter",ai/ml,postgraduate,AI Engineer,ai engineer
1935,"nlp, tableau, aws, cybersecurity, spark","aws ec2, postman, figma",cloud,postgraduate,DevOps Engineer,devops engineer
1936,"java, python, deep learning, embedded systems","gitlab, figma, github",ai/ml,undergraduate,AI Engineer,ai engineer
1937,"deep learning, azure, power bi, figma","postman, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
1938,"kubernetes, linux, figma, tableau, html, nlp, spark","google cloud, postman, azure portal",web development,postgraduate,Frontend Developer,frontend developer
1939,"azure, networking, docker, pytorch, c++, react, tableau","jira, kubernetes, aws ec2",cloud,undergraduate,Cloud Engineer,cloud engineer
1940,"azure, tableau, c++, deep learning, data analysis","google cloud, aws ec2, jupyter",design,postgraduate,UI/UX Designer,ui/ux designer
1941,"nlp, data analysis, linux, sql, tensorflow, azure, git","gitlab, aws ec2",cloud,postgraduate,Cloud Engineer,cloud engineer
1942,"javascript, hadoop, rest apis, cybersecurity, azure","google cloud, kubernetes, aws ec2, github",ai/ml,postgraduate,AI Engineer,ai engineer
1943,"figma, machine learning, java, azure","aws ec2, vs code",cybersecurity,postgraduate,Security Engineer,security engineer
1944,"statistics, hadoop, aws, c++, git, python","azure portal, aws ec2, figma",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
1945,"docker, data analysis, hadoop, azure, html, deep learning, css","jira, pycharm, postman",web development,undergraduate,Backend Developer,backend developer
1946,"nlp, git, react, c++, html, tableau, statistics","jupyter, kubernetes, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1947,"git, embedded systems, figma, kubernetes, tableau","pycharm, google cloud",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1948,"statistics, tensorflow, hadoop, css, cybersecurity, python, sql","docker, postman, vs code",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
1949,"aws, rest apis, deep learning, sql, node.js, nlp, figma","postman, jira, github",ai/ml,undergraduate,AI Engineer,ai engineer
1950,"machine learning, tableau, figma, statistics, nlp, git, docker","jira, aws ec2, google cloud, jupyter",web development,postgraduate,Backend Developer,backend developer
1951,"azure, embedded systems, power bi, node.js","jupyter, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1952,"python, figma, linux, machine learning, nlp","kubernetes, postman, figma, github",cloud,postgraduate,DevOps Engineer,devops engineer
1953,"statistics, tensorflow, javascript, machine learning, react, sql","kubernetes, jira",data science,graduate,Data Analyst,data analyst
1954,"sql, aws, kubernetes, nlp, spark, tableau","figma, docker",web development,undergraduate,Backend Developer,backend developer
1955,"rest apis, machine learning, git, statistics, javascript, deep learning, tableau","gitlab, azure portal, jira, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
1956,"git, hadoop, javascript, css, tensorflow, nlp","jira, gitlab, vs code, docker",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1957,"azure, networking, python, c++","figma, google cloud",web development,undergraduate,Frontend Developer,frontend developer
1958,"sql, pytorch, deep learning, figma, networking","vs code, google cloud, docker, postman",web development,postgraduate,Frontend Developer,frontend developer
1959,"nlp, c++, css, python, html, javascript, rest apis","pycharm, github",web development,graduate,Frontend Developer,frontend developer
1960,"linux, statistics, kubernetes, sql, rest apis, power bi, git","pycharm, aws ec2",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1961,"hadoop, statistics, nlp, node.js","docker, postman",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
1962,"c++, data analysis, aws, tensorflow, linux, rest apis, ui/ux","docker, github",data science,undergraduate,Data Scientist,data scientist
1963,"linux, tableau, deep learning, figma, tensorflow, node.js","github, google cloud, azure portal",cloud,graduate,DevOps Engineer,devops engineer
1964,"data analysis, linux, embedded systems, java, react, git","aws ec2, pycharm, google cloud, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1965,"embedded systems, node.js, c++, sql, java","postman, aws ec2",design,graduate,UI/UX Designer,ui/ux designer
1966,"deep learning, statistics, hadoop, java, kubernetes, docker, nlp","github, azure portal, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
1967,"react, nlp, git, tensorflow, node.js","gitlab, figma, pycharm, azure portal",cloud,postgraduate,DevOps Engineer,devops engineer
1968,"ui/ux, data analysis, git, cybersecurity","google cloud, kubernetes, github, jira",web development,graduate,Frontend Developer,frontend developer
1969,"c++, deep learning, cybersecurity, aws, figma","postman, gitlab, google cloud, azure portal",web development,undergraduate,Frontend Developer,frontend developer
1970,"embedded systems, sql, html, python, hadoop, azure, javascript","pycharm, postman",design,postgraduate,UI/UX Designer,ui/ux designer
1971,"react, deep learning, docker, git, machine learning, css","docker, jira",design,postgraduate,UI/UX Designer,ui/ux designer
1972,"pytorch, spark, ui/ux, tensorflow, git, c++","vs code, azure portal, jupyter",web development,graduate,Backend Developer,backend developer
1973,"statistics, ui/ux, kubernetes, machine learning, tensorflow, pytorch, power bi","docker, figma, gitlab, postman",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1974,"node.js, spark, git, ui/ux, statistics, docker","aws ec2, pycharm, google cloud",cybersecurity,postgraduate,Security Engineer,security engineer
1975,"tensorflow, power bi, css, tableau, cybersecurity, nlp","jupyter, figma, docker",data science,postgraduate,Data Analyst,data analyst
1976,"java, hadoop, javascript, cybersecurity, embedded systems","kubernetes, vs code, pycharm, google cloud",design,graduate,UI/UX Designer,ui/ux designer
1977,"power bi, data analysis, python, tensorflow","pycharm, figma, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
1978,"azure, kubernetes, machine learning, ui/ux","github, postman",data science,graduate,Data Analyst,data analyst
1979,"c++, spark, javascript, react, ui/ux","figma, gitlab, aws ec2, github",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
1980,"statistics, tableau, nlp, c++, javascript, deep learning, html","postman, gitlab, google cloud, docker",web development,postgraduate,Frontend Developer,frontend developer
1981,"azure, statistics, html, spark, rest apis","jupyter, docker, vs code, figma",cloud,graduate,Cloud Engineer,cloud engineer
1982,"power bi, azure, tensorflow, tableau, machine learning, statistics","postman, jupyter",design,graduate,UI/UX Designer,ui/ux designer
1983,"rest apis, aws, ui/ux, cybersecurity, java, spark","jira, postman, pycharm, jupyter",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1984,"power bi, networking, spark, javascript","postman, aws ec2, jupyter, gitlab",data science,graduate,Data Analyst,data analyst
1985,"html, linux, ui/ux, tensorflow","gitlab, jupyter",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
1986,"aws, c++, networking, git, sql, embedded systems","azure portal, postman, jupyter, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
1987,"react, docker, hadoop, pytorch, machine learning","jupyter, docker, gitlab",design,postgraduate,UI/UX Designer,ui/ux designer
1988,"c++, java, git, sql, react","aws ec2, kubernetes, jupyter",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1989,"tensorflow, javascript, spark, azure, hadoop, cybersecurity, git","azure portal, gitlab, pycharm",cybersecurity,postgraduate,Security Engineer,security engineer
1990,"figma, nlp, aws, sql, azure, pytorch, machine learning","figma, docker",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
1991,"data analysis, embedded systems, cybersecurity, networking, figma, aws, pytorch","jira, github, pycharm, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1992,"spark, node.js, java, embedded systems","vs code, docker",cloud,graduate,DevOps Engineer,devops engineer
1993,"spark, deep learning, nlp, pytorch","jira, jupyter, gitlab, aws ec2",cybersecurity,undergraduate,Security Engineer,security engineer
1994,"networking, deep learning, figma, javascript, nlp","kubernetes, jupyter, github",cloud,graduate,DevOps Engineer,devops engineer
1995,"c++, html, css, machine learning, pytorch","figma, gitlab, jupyter, azure portal",cloud,graduate,DevOps Engineer,devops engineer
1996,"data analysis, rest apis, statistics, cybersecurity, networking, power bi, react","aws ec2, jupyter",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
1997,"html, hadoop, kubernetes, tensorflow, css, azure, cybersecurity","kubernetes, azure portal, gitlab, pycharm",cybersecurity,postgraduate,Security Engineer,security engineer
1998,"docker, tensorflow, linux, python, spark","pycharm, docker",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
1999,"pytorch, deep learning, ui/ux, embedded systems, git","aws ec2, kubernetes",data science,undergraduate,Data Analyst,data analyst
2000,"power bi, javascript, java, docker, data analysis, networking","azure portal, jupyter, vs code, gitlab",cloud,undergraduate,Cloud Engineer,cloud engineer
2001,"figma, nlp, kubernetes, java, html, javascript","pycharm, figma, docker, jira",ai/ml,postgraduate,AI Engineer,ai engineer
2002,"machine learning, aws, docker, ui/ux, tensorflow, react","jupyter, google cloud, kubernetes, vs code",web development,undergraduate,Backend Developer,backend developer
